CODE,MFR,MODEL,TYPE,HORSEPOWER,THRUST,
00000,NONE,NONE,0,00000,000000,
00401,A.C.E.,HIDR MARK III,1,00095,000000,
00402,A.C.E.,UPRI MARK III,1,00100,000000,
00450,AEROMOMENT,AM13 SERIES,8,00100,000000,
00452,AEROMOMENT,AM15 SERIES,8,00117,000000,
00500,AEROMOTORS,M-14PFXDK,1,00360,000000,
00501,AEROMOTORS,M14P-XEDK,1,00360,000000,
00511,AEROMOTORS,M14PF,1,00400,000000,
00550,AEROMAX,100 IFB,1,00100,000000,
00600,AEROSTAR,M-14P,1,00360,000000,
01001,AERONCA,E107A,1,00030,000000,
01002,AERONCA,E113 SERIES,1,00045,000000,
01003,AERONCA,E-113,1,00036,000000,
01004,AERONCA,E-113A,1,00036,000000,
01006,AERONCA,E-113B,1,00036,000000,
01007,AERONCA,E-113C,1,00040,000000,
01008,AERONCA,E-113CDB,1,00045,000000,
01009,AERONCA,E-113CB,1,00042,000000,
01010,AERONCA,E-113CD,1,00042,000000,
01300,AEROSPORT,O-360,1,00180,000000,
01301,AEROSPORT,O-360-A1A,1,00180,000000,
01302,AEROSPORT,O-320-D1A,1,00170,000000,
01303,AEROSPORT,O-360 A2A,1,00180,000000,
01304,AEROSPORT,IO-390,1,00210,000000,
01305,AEROSPORT,IO-375 SERIES,1,00180,000000,
01306,AEROSPORT,IO-360 SERIES,1,00180,000000,
01307,AEROSPORT,O/IO-320 SER,1,00180,000000,
01308,AEROSPORT,IO-540-D4A5,1,00260,000000,
01309,AEROSPORT,IO-360MI,1,00180,000000,
01310,AEROSPORT,IO-375-B1B,1,00205,000000,
01311,AEROSPORT,IO-400-M1S,1,00215,000000,
01312,AEROSPORT,IO-375-M1,1,00195,000000,
01315,AEROSPORT,IO382 SERIES,8,00200,000000,
01319,AEROSPORT,ECIIO375M1SD,1,00195,000000,
01320,AEROSPORT,CC-340,1,00185,000000,
01321,AEROSPORT,CC363I,1,00187,000000,
01322,AEROSPORT,IO-540-EXP,1,00250,000000,
01325,AEROSPORT,IO-375M1S,1,00205,000000,
01398,AEROCONVER,AEROVEE 2.1 T,1,00100,000000,
01399,AEROSPORT,O-375-A2A,1,00205,000000,
01400,AEROVEE,2180,8,00080,000000,
01401,AEROCONVER,AEROVEE,1,00080,000000,
01402,AEROVEE,2.1,8,00080,000000,
01403,AEROVEE,2.0,8,00080,000000,
01404,AEROCONVER,AEROVEE 2.1,1,00080,000000,
01405,AEROVEE,2002,1,00080,000000,
01410,AEROSPORT,O/IO-340 SERI,1,00185,000000,
01498,AIRESEARCH,TPE331-2,2,00715,000000,
01499,AEROSPORT,O-375-A1A,1,00205,000000,
01501,AIRESEARCH,GTC-85-135,2,00242,000000,
01502,AIRESEARCH,331 SER 605HP,2,00605,000000,
01503,AIRESEARCH,TPE331-25A,2,00575,000000,
01504,AIRESEARCH,TPE331-25AA,2,00575,000000,
01505,AIRESEARCH,TSE331 SERIES,3,00800,000000,
01506,AIRESEARCH,331SER 705HP,2,00705,000000,
01507,AIRESEARCH,TPE331-25AB,2,00575,000000,
01508,AIRESEARCH,331SER 755HP,5,00755,000000,
01509,AIRESEARCH,TPE331-25B,2,00575,000000,
01510,AIRESEARCH,331SER 904HP,2,00904,000000,
01511,AIRESEARCH,TPE331-25C,2,00575,000000,
01512,AIRESEARCH,331SER 1008HP,2,01008,000000,
01513,AIRESEARCH,TPE331-25D,2,00575,000000,
01514,AIRESEARCH,TPE331 SERIES,2,00904,000000,
01515,AIRESEARCH,TPE331-5&6SER,2,00776,000000,
01516,AIRESEARCH,TPE331-25DA,2,00575,000000,
01517,AIRESEARCH,TPE331 SERIES,2,00600,000000,
01518,AIRESEARCH,TFE731 SER,4,00000,003500,
01519,AIRESEARCH,TPE331-25DB,2,00575,000000,
01520,AIRESEARCH,TSE331 SERIES,3,00800,000000,
01521,AIRESEARCH,TPE331-6-251M,2,00750,000000,
01522,AIRESEARCH,TPE331-5-252M,2,00750,000000,
01523,AIRESEARCH,TFE-732-2-1C,4,00000,003230,
01524,AIRESEARCH,ATF3-6A-4C,4,00000,005200,
01525,AIRESEARCH,TPE331-25E,2,00575,000000,
01526,AIRESEARCH,TPE331-25F,2,00575,000000,
01527,AIRESEARCH,TPE331-25FA,2,00575,000000,
01528,AIRESEARCH,TPE331-29A,2,00575,000000,
01529,AIRESEARCH,TPE331-43,2,00575,000000,
01530,AIRESEARCH,TPE331-8 SER,2,00715,000000,
01531,AIRESEARCH,TPE331-43-A,2,00575,000000,
01532,AIRESEARCH,TPE331-43-B,2,00575,000000,
01533,AIRESEARCH,TPE331-45,2,00575,000000,
01534,AIRESEARCH,TPE331-47,2,00575,000000,
01535,AIRESEARCH,TPE331-47-A,2,00575,000000,
01536,AIRESEARCH,TPE331-47-B,2,00575,000000,
01537,AIRESEARCH,TPE331-51,2,00575,000000,
01538,AIRESEARCH,TPE331-55,2,00575,000000,
01539,AIRESEARCH,TPE331-55-A,2,00575,000000,
01540,AIRESEARCH,TPE331-55-B,2,00575,000000,
01541,AIRESEARCH,TPE331-57,2,00575,000000,
01542,AIRESEARCH,TPE331-57-B,2,00575,000000,
01543,AIRESEARCH,TPE331-61,2,00575,000000,
01544,AIRESEARCH,TPE331-61-A,2,00575,000000,
01545,AIRESEARCH,TPE331-1,2,00665,000000,
01546,AIRESEARCH,TPE331-1U,2,00665,000000,
01547,AIRESEARCH,TPE-331-5254K,2,00718,000000,
01551,AIRESEARCH,TPE331-3,2,00840,000000,
01552,AIRESEARCH,TPE331-3U,2,00840,000000,
01553,AIRESEARCH,TPE331-3UW,2,00840,000000,
01554,AIRESEARCH,TPE331-3W,2,00840,000000,
01555,AIRESEARCH,TPE331-10UA,2,00840,000000,
01556,AIRESEARCH,TPE331-5,2,00776,000000,
01557,AIRESEARCH,TPE331-5A,2,00840,000000,
01558,AIRESEARCH,TPE331-5AB,2,00840,000000,
01559,AIRESEARCH,TPE331-5B,2,00776,000000,
01560,AIRESEARCH,TPE331-5U,2,00776,000000,
01561,AIRESEARCH,TPE331-6,2,00750,000000,
01562,AIRESEARCH,TPE331-6A,2,00750,000000,
01563,AIRESEARCH,TPE331-6U,2,00750,000000,
01564,AIRESEARCH,TPE331-8,2,00715,000000,
01565,AIRESEARCH,TPE331-8A,2,00715,000000,
01566,AIRESEARCH,TPE331-9,2,00865,000000,
01567,AIRESEARCH,TPE331-9U,2,00865,000000,
01568,AIRESEARCH,TPE331-10,2,00940,000000,
01569,AIRESEARCH,TPE331-10A,2,00940,000000,
01570,AIRESEARCH,TPE331-10AV,2,00750,000000,
01571,AIRESEARCH,TPE331-10B,2,00940,000000,
01572,AIRESEARCH,TPE331-10G,2,00940,000000,
01573,AIRESEARCH,TPE331-10GP,2,00840,000000,
01574,AIRESEARCH,TPE331-10GR,2,00940,000000,
01575,AIRESEARCH,TPE331-10GT,2,00840,000000,
01576,AIRESEARCH,TPE331-10J,2,01000,000000,
01577,AIRESEARCH,TPE331-10N,2,00715,000000,
01578,AIRESEARCH,TPE331-10P,2,00776,000000,
01579,AIRESEARCH,TPE331-10R,2,00940,000000,
01580,AIRESEARCH,TPE331-10T,2,00776,000000,
01581,AIRESEARCH,TPE331-10U,2,00940,000000,
01582,AIRESEARCH,TPE331-10UF,2,00940,000000,
01583,AIRESEARCH,TPE-331-10UG,2,00940,000000,
01584,AIRESEARCH,TPE331-10UGR,2,00940,000000,
01585,AIRESEARCH,TPE331-10UJ,2,01000,000000,
01586,AIRESEARCH,TPE331-10UK,2,01000,000000,
